codgeo;libgeo;an;part_domtrav_tc
1001;L'Abergement-Clémenciat;2009;1,2
1001;L'Abergement-Clémenciat;2014;4,1
1001;L'Abergement-Clémenciat;2020;1,1
1002;L'Abergement-de-Varey;2009;7,7
1002;L'Abergement-de-Varey;2014;4,8
1002;L'Abergement-de-Varey;2020;3,8
1004;Ambérieu-en-Bugey;2009;13
1004;Ambérieu-en-Bugey;2014;15
1004;Ambérieu-en-Bugey;2020;14
1005;Ambérieux-en-Dombes;2009;2,1
1005;Ambérieux-en-Dombes;2014;3,8
1005;Ambérieux-en-Dombes;2020;2,3
1006;Ambléon;2009;9,1
1006;Ambléon;2014;9,1
1006;Ambléon;2020;0
1007;Ambronay;2009;6,7
1007;Ambronay;2014;6,6
1007;Ambronay;2020;8
1008;Ambutrix;2009;12,8
1008;Ambutrix;2014;13,4
1008;Ambutrix;2020;8,5
1009;Andert-et-Condon;2009;0
1009;Andert-et-Condon;2014;3,1
1009;Andert-et-Condon;2020;0
1010;Anglefort;2009;2
1010;Anglefort;2014;1,9
1010;Anglefort;2020;4,1
1011;Apremont;2009;0
1011;Apremont;2014;4,3
1011;Apremont;2020;0
1012;Aranc;2009;0
1012;Aranc;2014;0
1012;Aranc;2020;0
1013;Arandas;2009;6,7
1013;Arandas;2014;6,2
1013;Arandas;2020;0
1014;Arbent;2009;2,6
1014;Arbent;2014;2
1014;Arbent;2020;2,1
1015;Arboys en Bugey;2009;1,4
1015;Arboys en Bugey;2014;0
1015;Arboys en Bugey;2020;0
1016;Arbigny;2009;0
1016;Arbigny;2014;2,7
1016;Arbigny;2020;0
1017;Argis;2009;4,1
1017;Argis;2014;16,7
1017;Argis;2020;16,5
1019;Armix;2009;0
1019;Armix;2014;0
1019;Armix;2020;0
1021;Ars-sur-Formans;2009;3,1
1021;Ars-sur-Formans;2014;4,4
1021;Ars-sur-Formans;2020;3
1022;Artemare;2009;6,5
1022;Artemare;2014;5,2
1022;Artemare;2020;4,2
1023;Asnières-sur-Saône;2009;0
1023;Asnières-sur-Saône;2014;0
1023;Asnières-sur-Saône;2020;0
1024;Attignat;2009;2,3
1024;Attignat;2014;2,9
1024;Attignat;2020;2,1
