Code;Libellé;Médiane du revenu disponible par UC 2020
1001;L'Abergement-Clémenciat;24820
1002;L'Abergement-de-Varey;23220
1004;Ambérieu-en-Bugey;21070
1005;Ambérieux-en-Dombes;24380
1006;Ambléon;N/A - résultat non disponible
1007;Ambronay;24330
1008;Ambutrix;26120
1009;Andert-et-Condon;24410
1010;Anglefort;24700
1011;Apremont;24690
1012;Aranc;22300
1013;Arandas;22190
1014;Arbent;21670
1015;Arboys en Bugey;22960
1016;Arbigny;22280
1017;Argis;20950
1019;Armix;N/A - résultat non disponible
1021;Ars-sur-Formans;25400
1022;Artemare;20990
1023;Asnières-sur-Saône;N/A - résultat non disponible
1024;Attignat;23420
1025;Bâgé-Dommartin;23880
1026;Bâgé-le-Châtel;22100
1027;Balan;24870
1028;Baneins;23400
1029;Beaupont;21260
1030;Beauregard;22780
1031;Bellignat;20180
1032;Béligneux;22610
1033;Valserhône;23140
1034;Belley;20550
1035;Belleydoux;24930
1036;Valromey-sur-Séran;23680
1037;Bénonces;21950
1038;Bény;23550
1040;Béréziat;23090
1041;Bettant;24040
1042;Bey;24960
1043;Beynost;28090
1044;Billiat;26950
1045;Birieux;28510
1046;Biziat;23580
1047;Blyes;26330
1049;La Boisse;25560
1050;Boissey;22750
1051;Bolozon;N/A - résultat non disponible
1052;Bouligneux;26030
1053;Bourg-en-Bresse;19640
1054;Bourg-Saint-Christophe;26020
1056;Boyeux-Saint-Jérôme;21220
1057;Boz;23350
1058;Brégnier-Cordon;22990
1060;Brénod;23850
1061;Brens;24550
1062;Bressolles;28420
1063;Brion;24690
1064;Briord;21930
1065;Buellas;26450
1066;La Burbanche;N/A - résultat non disponible
1067;Ceignes;25060
1068;Cerdon;21360
1069;Certines;25040
1071;Cessy;39950
1072;Ceyzériat;25010
1073;Ceyzérieu;24710
1074;Chalamont;22690
1075;Chaleins;24170
1076;Chaley;20880
1077;Challes-la-Montagne;22770
1078;Challex;42350
1079;Champagne-en-Valromey;22020
1080;Champdor-Corcelles;22490
1081;Champfromier;25300
1082;Chanay;25710
1083;Chaneins;24310
1084;Chanoz-Châtenay;23060
1085;La Chapelle-du-Châtelard;24560
1087;Charix;24720
1088;Charnoz-sur-Ain;27430
1089;Château-Gaillard;24490
1090;Châtenay;21710
1092;Châtillon-la-Palud;25120
1093;Châtillon-sur-Chalaronne;22690
1094;Chavannes-sur-Reyssouze;22100
1095;Nivigne et Suran;22050
1096;Chaveyriat;22570
1098;Chazey-Bons;21600
1099;Chazey-sur-Ain;25480
1100;Cheignieu-la-Balme;20380
1101;Chevillard;26760
1102;Chevroux;23470
1103;Chevry;40150
1104;Chézery-Forens;26070
1105;Civrieux;28050
1106;Cize;21560
1107;Cleyzieu;21970
1108;Coligny;22230
1109;Collonges;32850
1110;Colomieu;20910
1111;Conand;20190
1112;Condamine;24260
1113;Condeissiat;22650
1114;Confort;30710
1115;Confrançon;23080
1116;Contrevoz;22740
1117;Conzieu;22590
1118;Corbonod;26030
1121;Corlier;22770
1123;Cormoranche-sur-Saône;24470
1124;Cormoz;22850
1125;Corveissiat;23620
1127;Courmangoux;23190
1128;Courtes;22100
1129;Crans;25420
1130;Bresse Vallons;23420
1133;Cressin-Rochefort;23530
1134;Crottet;23750
1135;Crozet;39880
1136;Cruzilles-lès-Mépillat;24400
1138;Culoz-Béon;21620
1139;Curciat-Dongalon;20130
1140;Curtafond;24220
1141;Cuzieu;25140
1142;Dagneux;24770
1143;Divonne-les-Bains;45020
1145;Dompierre-sur-Veyle;23000
1146;Dompierre-sur-Chalaronne;23770
1147;Domsure;20910
1148;Dortan;23390
1149;Douvres;26250
1150;Drom;24150
1151;Druillat;24530
1152;Échallon;27020
1153;Échenevex;47940
1155;Évosges;22630
1156;Faramans;25450
1157;Fareins;26310
1158;Farges;34360
1159;Feillens;23270
1160;Ferney-Voltaire;26970
1162;Flaxieu;N/A - résultat non disponible
1163;Foissiat;23180
1165;Francheleins;25050
1166;Frans;26070
1167;Garnerans;23960
1169;Genouilleux;25380
1170;Béard-Géovreissiat;23660
1171;Géovreisset;24860
1173;Gex;33730
1174;Giron;24230
1175;Gorrevod;22530
1177;Grand-Corent;24470
1179;Grièges;24120
1180;Grilly;50060
1181;Groissiat;24770
1183;Guéreins;25030
1184;Hautecourt-Romanèche;23410
1185;Plateau d'Hauteville;23020
1187;Haut Valromey;22840
1188;Illiat;23640
1189;Injoux-Génissiat;26780
1190;Innimond;N/A - résultat non disponible
1191;Izenave;24680
1192;Izernore;22630
1193;Izieu;24780
1194;Jassans-Riottier;23470
1195;Jasseron;25190
1196;Jayat;21750
1197;Journans;24320
1198;Joyeux;24190
1199;Jujurieux;22110
1200;Labalme;21620
1202;Lagnieu;23160
1203;Laiz;24040
1204;Le Poizat-Lalleyriat;25560
1206;Lantenay;24840
1207;Lapeyrouse;26500
1208;Lavours;24310
1209;Léaz;29320
1210;Lélex;21370
1211;Lent;24150
1212;Lescheroux;21650
1213;Leyment;23790
1214;Leyssard;24710
1215;Surjoux-Lhopital;24180
1216;Lhuis;23110
1219;Lompnas;20690
1224;Loyettes;23110
1225;Lurcy;26840
1227;Magnieu;23330
1228;Maillat;24970
1229;Malafretaz;23680
1230;Mantenay-Montlin;21070
1231;Manziat;24320
1232;Marboz;23330
1233;Marchamp;23460
1234;Marignieu;24730
1235;Marlieux;23000
1236;Marsonnas;22620
1237;Martignat;22910
1238;Massieux;27610
1239;Massignieu-de-Rives;24160
1240;Matafelon-Granges;24440
1241;Meillonnas;24700
1242;Mérignat;18460
1243;Messimy-sur-Saône;26300
1244;Meximieux;23970
1245;Bohas-Meyriat-Rignat;24350
1246;Mézériat;23060
1247;Mijoux;31340
1248;Mionnay;28350
1249;Miribel;25630
1250;Misérieux;26020
1252;Mogneneins;25040
1254;Montagnat;26820
1255;Montagnieu;21790
1257;Montanges;28690
1258;Montceaux;26250
1259;Montcet;24430
1260;Le Montellier;26460
1261;Monthieux;27470
1262;Montluel;22820
1263;Montmerle-sur-Saône;24910
1264;Montracol;23630
1265;Montréal-la-Cluse;20160
1266;Montrevel-en-Bresse;22060
1267;Nurieux-Volognat;24440
1268;Murs-et-Gélignieux;23840
1269;Nantua;17640
1272;Neuville-les-Dames;22700
1273;Neuville-sur-Ain;22380
1274;Les Neyrolles;20530
1275;Neyron;30020
1276;Niévroz;26630
1277;Nivollet-Montgriffon;23280
1279;Oncieu;N/A - résultat non disponible
1280;Ordonnaz;23640
1281;Ornex;35900
1282;Outriaz;24460
1283;Oyonnax;17830
1284;Ozan;22460
1285;Parcieux;27830
1286;Parves et Nattages;26330
1288;Péron;39070
1289;Péronnas;23570
1290;Pérouges;27110
1291;Perrex;23660
1293;Peyriat;25900
1294;Peyrieu;22830
1295;Peyzieux-sur-Saône;24010
1296;Pirajoux;23950
1297;Pizay;27300
1298;Plagne;30150
1299;Le Plantay;25120
1301;Polliat;24380
1302;Pollieu;25610
1303;Poncin;21710
1304;Pont-d'Ain;22190
1305;Pont-de-Vaux;20060
1306;Pont-de-Veyle;21100
1307;Port;22090
1308;Pougny;39040
1309;Pouillat;N/A - résultat non disponible
1310;Prémeyzel;23710
1311;Prémillieu;N/A - résultat non disponible
1313;Prévessin-Moëns;40680
1314;Priay;23900
1317;Ramasse;22800
