Code;Libellé;Nombre d'entreprises par secteurs d'activité 2021;Nombre d'entreprises par secteurs d'activité 2021
1001;L'Abergement-Clémenciat;41;2
1002;L'Abergement-de-Varey;18;3
1004;Ambérieu-en-Bugey;1097;54
1005;Ambérieux-en-Dombes;133;12
1006;Ambléon;7;0
1007;Ambronay;157;14
1008;Ambutrix;58;1
1009;Andert-et-Condon;29;5
1010;Anglefort;54;9
1011;Apremont;19;3
1012;Aranc;22;3
1013;Arandas;8;0
1014;Arbent;329;68
1015;Arboys en Bugey;30;7
1016;Arbigny;18;2
1017;Argis;21;4
1019;Armix;2;1
1021;Ars-sur-Formans;106;4
1022;Artemare;88;12
1023;Asnières-sur-Saône;3;0
1024;Attignat;172;15
1025;Bâgé-Dommartin;160;13
1026;Bâgé-le-Châtel;59;6
1027;Balan;161;11
1028;Baneins;36;2
1029;Beaupont;29;6
1030;Beauregard;68;5
1031;Bellignat;264;60
1032;Béligneux;225;27
1033;Valserhône;946;61
1034;Belley;732;54
1035;Belleydoux;20;3
1036;Valromey-sur-Séran;80;6
1037;Bénonces;14;3
1038;Bény;37;5
1040;Béréziat;15;1
1041;Bettant;28;1
1042;Bey;14;0
1043;Beynost;541;34
1044;Billiat;33;4
1045;Birieux;14;1
1046;Biziat;45;3
1047;Blyes;121;27
1049;La Boisse;276;20
1050;Boissey;13;1
1051;Bolozon;10;1
1052;Bouligneux;19;0
1053;Bourg-en-Bresse;3400;136
1054;Bourg-Saint-Christophe;77;2
1056;Boyeux-Saint-Jérôme;17;2
1057;Boz;36;7
1058;Brégnier-Cordon;62;11
1060;Brénod;33;4
1061;Brens;69;4
1062;Bressolles;61;8
1063;Brion;46;8
1064;Briord;67;5
1065;Buellas;94;6
1066;La Burbanche;9;1
1067;Ceignes;15;1
1068;Cerdon;61;3
1069;Certines;87;11
1071;Cessy;273;12
1072;Ceyzériat;252;19
1073;Ceyzérieu;68;6
1074;Chalamont;203;18
1075;Chaleins;128;14
1076;Chaley;6;2
1077;Challes-la-Montagne;10;2
1078;Challex;53;2
1079;Champagne-en-Valromey;73;8
1080;Champdor-Corcelles;22;2
1081;Champfromier;46;7
1082;Chanay;19;1
1083;Chaneins;87;12
1084;Chanoz-Châtenay;51;7
1085;La Chapelle-du-Châtelard;21;0
1087;Charix;16;0
1088;Charnoz-sur-Ain;69;2
1089;Château-Gaillard;202;21
1090;Châtenay;27;1
1092;Châtillon-la-Palud;108;7
1093;Châtillon-sur-Chalaronne;472;41
1094;Chavannes-sur-Reyssouze;35;1
1095;Nivigne et Suran;53;8
1096;Chaveyriat;69;8
1098;Chazey-Bons;87;11
1099;Chazey-sur-Ain;116;5
1100;Cheignieu-la-Balme;10;0
1101;Chevillard;3;0
1102;Chevroux;56;8
1103;Chevry;59;6
1104;Chézery-Forens;21;4
1105;Civrieux;183;18
1106;Cize;2;0
1107;Cleyzieu;13;4
1108;Coligny;90;18
1109;Collonges;138;7
1110;Colomieu;6;0
1111;Conand;7;1
1112;Condamine;24;3
1113;Condeissiat;43;4
1114;Confort;28;1
1115;Confrançon;89;11
1116;Contrevoz;24;3
1117;Conzieu;12;2
1118;Corbonod;66;13
1121;Corlier;13;2
1123;Cormoranche-sur-Saône;53;4
1124;Cormoz;39;5
1125;Corveissiat;30;7
1127;Courmangoux;30;5
1128;Courtes;10;0
1129;Crans;12;1
1130;Bresse Vallons;108;17
1133;Cressin-Rochefort;19;3
1134;Crottet;126;9
1135;Crozet;145;9
1136;Cruzilles-lès-Mépillat;44;4
1138;Culoz-Béon;194;25
1139;Curciat-Dongalon;22;2
1140;Curtafond;36;5
1141;Cuzieu;18;1
